SliceNo,Position,Size
35,"67,108","7,4"
36,"59,103","19,13"
37,"59,103","24,14"
38,"58,101","27,18"
39,"58,102","36,27"
40,"58,87","39,45"
41,"57,87","43,47"
42,"55,87","45,49"
43,"55,83","46,54"
44,"53,83","49,54"
45,"53,83","50,54"
46,"50,82","54,55"
47,"49,80","56,56"
48,"48,79","58,58"
49,"48,79","58,57"
50,"48,76","60,61"
51,"47,77","63,60"
52,"47,75","68,62"
53,"48,71","67,65"
54,"47,70","68,66"
55,"49,67","67,67"
56,"49,65","68,70"
57,"49,65","68,70"
58,"50,64","67,70"
59,"50,63","67,71"
60,"51,62","66,72"
61,"51,62","65,71"
62,"51,62","65,71"
63,"52,61","64,71"
64,"53,60","63,71"
65,"57,60","59,70"
66,"58,59","58,71"
67,"59,58","57,71"
68,"61,58","55,72"
69,"62,58","54,88"
70,"62,58","55,89"
71,"62,58","56,90"
72,"63,58","55,91"
73,"65,58","53,90"
74,"65,58","53,89"
75,"67,58","51,88"
76,"68,58","50,87"
77,"72,58","45,64"
78,"74,58","43,64"
79,"74,60","42,77"
80,"75,60","42,62"
81,"75,60","42,61"
82,"76,60","40,58"
83,"76,61","41,55"
84,"76,62","41,52"
85,"77,63","41,49"
86,"77,63","42,47"
87,"78,63","41,35"
88,"78,63","41,34"
89,"79,63","39,33"
90,"79,64","38,32"
91,"80,67","35,29"
92,"81,67","34,28"
93,"81,68","32,27"
94,"82,69","30,25"
95,"83,70","27,22"
96,"85,72","16,13"
97,"86,71","12,13"
98,"86,72","11,10"
99,"92,77","3,2"
