SliceNo,Position,Size
31,"76,127","18,9"
32,"74,125","22,17"
33,"69,124","28,19"
34,"70,123","28,22"
35,"70,122","29,25"
36,"69,120","30,30"
37,"70,118","30,33"
38,"70,116","31,35"
39,"69,114","32,39"
40,"69,113","32,41"
41,"69,112","32,44"
42,"67,110","35,46"
43,"66,108","37,49"
44,"65,104","39,53"
45,"64,102","41,55"
46,"63,99","43,58"
47,"62,98","44,59"
48,"61,97","46,60"
49,"61,96","47,61"
50,"61,95","48,62"
51,"60,94","51,63"
52,"60,92","52,65"
53,"60,92","52,64"
54,"60,90","52,66"
55,"60,90","53,67"
56,"60,88","53,69"
57,"62,84","52,73"
58,"62,84","53,73"
59,"62,83","55,75"
60,"62,83","55,75"
61,"62,82","56,77"
62,"63,82","55,77"
63,"63,83","55,77"
64,"63,83","55,77"
65,"63,82","55,79"
66,"62,82","56,79"
67,"63,83","55,78"
68,"64,84","54,78"
69,"65,84","53,78"
70,"66,84","51,78"
71,"67,85","48,78"
72,"68,85","46,78"
73,"66,87","47,75"
74,"67,88","46,74"
75,"67,89","45,73"
76,"68,91","44,71"
77,"68,96","44,66"
78,"68,98","44,64"
79,"69,101","42,60"
80,"70,102","41,58"
81,"71,124","39,35"
82,"72,129","36,29"
83,"73,133","33,22"
84,"72,134","32,19"
85,"78,137","24,15"
86,"80,138","20,14"
87,"85,137","13,15"
88,"87,146","9,5"
