SliceNo,Position,Size
34,"69,124","12,8"
35,"68,123","20,12"
36,"67,122","26,15"
37,"67,121","27,16"
38,"67,119","28,30"
39,"67,120","29,31"
40,"66,119","30,33"
41,"63,116","37,37"
42,"62,113","38,40"
43,"61,113","40,40"
44,"60,112","43,42"
45,"60,112","43,42"
46,"60,111","43,43"
47,"60,110","43,44"
48,"60,109","44,44"
49,"60,108","41,47"
50,"61,108","39,47"
51,"61,107","41,48"
52,"61,107","41,49"
53,"62,106","40,50"
54,"63,106","38,49"
55,"63,106","37,46"
56,"63,105","37,45"
57,"63,104","37,45"
58,"64,104","36,44"
59,"64,104","35,44"
60,"64,104","35,42"
61,"63,103","35,43"
62,"65,104","33,41"
63,"66,104","31,39"
64,"66,104","30,37"
65,"67,106","28,35"
66,"68,107","27,32"
67,"69,108","25,30"
68,"70,109","24,25"
69,"69,110","25,22"
70,"71,111","22,19"
71,"72,112","19,15"
72,"77,115","11,8"
73,"78,116","6,6"
