SliceNo,Position,Size
32,"95,130","3,3"
33,"94,127","4,6"
34,"86,122","13,14"
35,"85,118","16,21"
36,"84,116","17,24"
37,"83,115","21,26"
38,"82,114","23,27"
39,"81,113","25,28"
40,"81,93","27,48"
41,"78,92","30,50"
42,"78,92","31,50"
43,"78,89","33,54"
44,"78,90","34,53"
45,"78,88","35,55"
46,"77,87","37,57"
47,"77,86","38,58"
48,"76,86","42,58"
49,"76,86","43,58"
50,"76,86","43,58"
51,"76,83","44,61"
52,"76,84","44,60"
53,"76,83","44,60"
54,"76,83","44,60"
55,"76,83","44,60"
56,"76,82","43,60"
57,"76,82","43,60"
58,"76,82","43,60"
59,"76,82","43,59"
60,"76,80","41,62"
61,"76,80","41,61"
62,"77,81","39,60"
63,"77,80","39,61"
64,"77,80","39,60"
65,"78,80","37,60"
66,"78,79","37,59"
67,"78,77","36,59"
68,"78,77","36,58"
69,"79,78","34,55"
70,"79,78","33,54"
71,"80,79","32,53"
72,"80,98","31,34"
73,"84,78","24,52"
74,"86,105","21,22"
75,"88,106","19,16"
76,"88,107","18,13"
77,"89,107","14,10"
78,"90,110","5,4"
