SliceNo,Position,Size
39,"150,129","9,8"
40,"148,126","19,12"
41,"144,124","24,18"
42,"145,124","24,18"
43,"144,122","27,21"
44,"143,121","29,22"
45,"143,120","29,24"
46,"142,117","31,28"
47,"141,115","33,30"
48,"141,110","34,36"
49,"140,110","35,38"
50,"140,104","36,43"
51,"139,106","37,45"
52,"138,105","38,44"
53,"134,105","42,43"
54,"134,105","42,46"
55,"132,105","45,46"
56,"132,105","45,46"
57,"132,104","45,45"
58,"132,101","45,48"
59,"133,100","44,50"
60,"132,100","45,49"
61,"132,104","44,45"
62,"132,105","45,44"
63,"132,86","44,63"
64,"132,84","44,65"
65,"129,83","45,66"
66,"128,84","46,65"
67,"125,78","48,71"
68,"124,77","48,72"
69,"125,75","47,73"
70,"125,74","47,74"
71,"133,74","39,74"
72,"130,74","41,74"
73,"131,73","40,75"
74,"131,73","40,75"
75,"131,73","41,75"
76,"132,74","40,74"
77,"132,74","40,74"
78,"134,75","37,72"
79,"132,76","41,71"
80,"131,76","34,71"
81,"130,78","36,68"
82,"131,78","38,68"
83,"130,78","40,66"
84,"127,78","43,66"
85,"127,78","43,65"
86,"128,82","42,60"
87,"140,101","30,40"
88,"152,108","19,31"
89,"154,108","18,30"
90,"157,107","15,31"
91,"158,114","14,22"
92,"164,115","7,20"
93,"160,122","8,5"
94,"158,108","10,20"
95,"160,120","11,8"
96,"162,123","6,3"
97,"161,121","1,1"
