SliceNo,Position,Size
25,"98,47","15,5"
26,"98,47","14,7"
27,"94,47","23,7"
28,"92,47","37,11"
29,"88,45","38,15"
30,"88,44","38,16"
31,"86,44","40,19"
32,"86,44","40,21"
33,"90,41","36,25"
34,"90,42","37,26"
35,"96,39","32,33"
36,"96,38","34,34"
37,"95,37","40,40"
38,"90,36","46,48"
39,"95,35","41,50"
40,"90,33","46,55"
41,"94,33","41,57"
42,"89,32","46,59"
43,"89,33","45,57"
44,"89,33","44,58"
45,"80,33","53,58"
46,"77,33","56,60"
47,"77,34","60,61"
48,"79,34","57,60"
49,"95,38","41,56"
50,"98,39","38,55"
51,"79,37","57,57"
52,"79,38","57,56"
53,"79,30","57,63"
54,"79,30","57,63"
55,"79,29","57,64"
56,"79,28","57,65"
57,"79,30","56,63"
58,"78,29","55,65"
59,"82,28","52,66"
60,"78,28","56,66"
61,"80,28","52,65"
62,"80,28","50,64"
63,"79,29","51,66"
64,"80,29","50,67"
65,"80,30","51,66"
66,"79,30","51,66"
67,"76,30","54,66"
68,"77,30","53,66"
69,"75,32","57,64"
70,"76,31","55,65"
71,"76,32","55,64"
72,"76,32","55,64"
73,"78,34","52,62"
74,"78,34","52,56"
75,"78,34","52,56"
76,"78,35","52,56"
77,"77,35","53,57"
78,"77,36","53,57"
79,"76,36","54,58"
80,"76,36","54,57"
81,"75,36","57,58"
82,"74,36","58,55"
83,"73,37","57,52"
84,"78,37","52,52"
85,"80,37","50,53"
86,"81,38","50,52"
87,"80,38","51,51"
88,"81,38","50,52"
89,"80,39","51,51"
90,"83,39","48,51"
91,"84,40","47,50"
92,"82,40","49,50"
93,"84,40","47,50"
94,"84,40","47,50"
95,"84,40","46,50"
96,"88,40","42,50"
97,"90,41","40,53"
98,"92,42","38,53"
99,"92,41","38,55"
100,"91,42","39,54"
101,"92,44","38,54"
102,"92,44","38,55"
103,"90,45","41,55"
104,"92,46","39,54"
105,"93,45","38,56"
106,"106,47","24,55"
107,"126,60","4,42"
108,"127,60","3,30"
109,"127,62","3,26"
110,"127,62","3,26"
111,"127,76","2,10"
112,"127,76","3,10"
113,"127,80","2,10"
114,"127,80","3,10"
115,"128,84","2,6"
116,"128,88","1,1"
