SliceNo,Position,Size
57,"79,115","7,4"
58,"79,113","8,11"
59,"79,112","10,14"
60,"78,108","12,20"
61,"77,106","15,31"
62,"77,105","17,33"
63,"76,104","19,36"
64,"77,103","20,38"
65,"76,102","22,39"
66,"75,101","24,41"
67,"74,99","26,43"
68,"74,99","27,44"
69,"73,98","28,46"
70,"73,97","28,48"
71,"72,97","30,48"
72,"72,96","30,49"
73,"71,96","32,49"
74,"71,96","32,49"
75,"70,96","33,49"
76,"70,96","34,49"
77,"70,95","34,50"
78,"70,95","34,50"
79,"71,95","34,50"
80,"71,95","34,50"
81,"71,96","35,48"
82,"71,96","35,47"
83,"71,96","35,47"
84,"71,96","35,47"
85,"72,95","35,48"
86,"72,95","35,48"
87,"73,94","34,48"
88,"72,94","36,49"
89,"72,94","36,48"
90,"73,95","35,47"
91,"73,96","36,46"
92,"73,96","35,45"
93,"73,95","35,46"
94,"74,95","34,45"
95,"74,96","34,43"
96,"74,95","34,44"
97,"74,95","33,43"
98,"75,96","30,41"
99,"75,97","29,36"
100,"75,98","28,34"
101,"76,99","26,31"
102,"77,100","23,29"
103,"79,102","21,25"
104,"80,105","20,17"
105,"84,107","15,14"
106,"88,110","4,7"
