SliceNo,Position,Size
62,"96,84","2,2"
63,"96,62","9,24"
64,"94,62","14,28"
65,"91,58","20,32"
66,"92,60","24,31"
67,"90,58","27,33"
68,"90,53","28,41"
69,"89,52","32,42"
70,"88,51","34,42"
71,"87,50","35,45"
72,"87,49","35,47"
73,"86,48","37,49"
74,"86,48","38,50"
75,"85,47","38,52"
76,"84,47","39,53"
77,"84,46","39,54"
78,"84,45","40,54"
79,"84,42","40,57"
80,"84,41","40,58"
81,"83,39","41,59"
82,"83,40","41,59"
83,"83,39","41,61"
84,"83,39","41,61"
85,"83,40","41,60"
86,"83,39","41,61"
87,"83,39","41,61"
88,"83,39","41,61"
89,"83,38","41,64"
90,"83,40","41,62"
91,"83,40","41,61"
92,"84,41","40,60"
93,"84,42","40,59"
94,"84,44","40,57"
95,"84,45","39,56"
96,"84,46","39,55"
97,"86,46","37,55"
98,"86,46","37,54"
99,"86,47","37,53"
100,"86,48","37,52"
101,"89,49","33,50"
102,"90,49","32,49"
103,"89,49","32,50"
104,"89,50","32,48"
105,"90,50","31,48"
106,"91,50","30,48"
107,"90,51","30,45"
108,"91,51","29,45"
109,"94,53","26,42"
110,"94,57","26,37"
111,"95,61","22,32"
112,"95,63","22,29"
113,"97,63","18,29"
114,"100,63","14,28"
115,"104,65","9,22"
116,"107,77","1,1"
