SliceNo,Position,Size
48,"85,151","1,1"
49,"84,148","13,5"
50,"84,148","13,5"
53,"79,147","5,4"
54,"79,147","3,4"
55,"79,140","22,15"
56,"79,139","24,15"
57,"85,139","18,14"
58,"85,139","21,13"
59,"85,139","19,13"
60,"87,138","17,13"
61,"79,138","25,14"
62,"79,139","25,14"
63,"76,142","25,26"
64,"75,139","26,30"
65,"75,140","29,30"
66,"74,139","31,31"
67,"74,140","31,30"
68,"74,137","35,35"
69,"73,136","37,34"
70,"72,132","38,41"
71,"72,122","41,52"
72,"72,131","57,41"
73,"72,120","57,53"
74,"69,115","60,58"
75,"68,118","60,54"
76,"68,116","60,55"
77,"68,117","58,54"
78,"68,114","60,58"
79,"67,92","62,81"
80,"67,92","63,81"
81,"66,116","65,57"
82,"66,104","65,69"
83,"63,102","66,70"
84,"63,101","67,72"
85,"65,101","65,76"
86,"68,101","73,76"
87,"70,100","70,77"
88,"72,100","56,77"
89,"68,99","60,77"
90,"68,99","60,77"
91,"69,101","59,73"
92,"69,102","60,72"
93,"68,102","60,67"
94,"68,102","60,68"
95,"68,102","60,67"
96,"69,101","59,68"
97,"70,101","58,69"
98,"70,101","58,69"
99,"68,100","59,72"
100,"68,100","59,72"
101,"67,100","60,68"
102,"67,105","60,63"
103,"68,111","60,55"
104,"68,112","60,54"
105,"68,112","60,54"
106,"68,115","60,51"
107,"68,114","60,50"
108,"68,115","60,49"
109,"69,116","59,50"
110,"70,109","56,57"
111,"72,109","54,55"
112,"72,109","53,54"
113,"74,111","51,51"
114,"74,109","47,49"
115,"76,111","43,47"
116,"76,109","41,49"
117,"78,109","41,49"
118,"78,113","37,44"
119,"80,112","38,46"
120,"80,107","38,51"
121,"82,109","37,47"
122,"82,112","37,44"
123,"96,112","22,37"
124,"96,111","22,37"
125,"86,110","32,38"
126,"98,114","20,34"
127,"98,116","20,23"
128,"110,120","8,18"
129,"112,120","6,12"
130,"112,122","6,6"
