SliceNo,Position,Size
47,"152,114","6,7"
48,"151,110","11,11"
49,"142,110","21,12"
50,"139,92","29,30"
51,"138,92","30,32"
52,"138,95","32,29"
53,"138,91","34,35"
54,"138,96","35,30"
55,"140,99","34,27"
56,"137,98","39,29"
57,"135,98","42,30"
58,"134,99","44,29"
59,"134,99","46,29"
60,"134,100","46,28"
61,"134,100","47,27"
62,"134,100","48,27"
63,"134,100","47,27"
64,"134,94","48,33"
65,"134,95","49,31"
66,"138,94","44,33"
67,"142,91","41,36"
68,"146,97","34,29"
69,"149,97","30,29"
70,"158,107","21,18"
71,"161,107","17,18"
72,"162,107","16,18"
73,"164,108","14,17"
74,"164,108","13,16"
75,"170,111","8,13"
76,"172,111","5,12"
77,"173,112","4,9"
78,"174,112","3,7"
