SliceNo,Position,Size
45,"75,109","19,13"
46,"73,108","22,16"
47,"71,107","24,18"
48,"70,104","27,22"
49,"70,103","28,22"
50,"69,101","30,25"
51,"68,100","33,26"
52,"68,99","34,26"
53,"67,98","36,27"
54,"67,98","36,27"
55,"67,97","37,27"
56,"68,96","37,27"
57,"68,96","39,27"
58,"69,96","39,27"
59,"70,95","40,28"
60,"72,95","37,28"
61,"76,95","36,29"
62,"78,94","36,30"
63,"79,93","36,33"
64,"80,95","36,33"
65,"81,95","38,38"
66,"82,95","36,39"
67,"83,94","35,42"
68,"83,94","36,44"
69,"83,92","37,48"
70,"83,96","36,44"
71,"84,96","37,45"
72,"76,95","47,46"
73,"72,92","51,50"
74,"71,92","53,52"
75,"70,94","55,56"
76,"70,95","55,57"
77,"69,94","56,55"
78,"69,95","55,55"
79,"69,95","55,56"
80,"69,94","55,57"
81,"69,93","55,58"
82,"70,93","54,58"
83,"70,92","52,59"
84,"71,93","50,57"
85,"71,93","50,58"
86,"71,94","49,57"
87,"72,94","48,55"
88,"73,94","47,56"
89,"73,94","47,55"
90,"75,94","45,57"
91,"76,95","44,53"
92,"77,96","42,52"
93,"78,97","41,50"
94,"79,98","39,49"
95,"80,97","37,49"
96,"81,98","35,46"
97,"82,100","33,43"
98,"84,100","30,42"
99,"85,102","28,41"
100,"87,107","24,35"
101,"87,108","24,32"
102,"90,111","20,27"
103,"91,112","16,24"
104,"92,118","11,11"
