SliceNo,Position,Size
35,"123,101","2,1"
36,"119,92","8,11"
37,"117,92","11,12"
38,"116,88","14,16"
39,"115,87","18,18"
40,"115,86","19,20"
41,"115,86","18,21"
42,"115,87","20,21"
43,"115,86","21,22"
44,"115,86","20,24"
45,"116,85","33,41"
46,"115,85","38,42"
47,"114,85","41,42"
48,"112,85","43,43"
49,"110,84","45,45"
50,"109,84","47,46"
51,"109,85","48,44"
52,"110,84","48,44"
53,"111,85","47,42"
54,"111,85","48,43"
55,"110,86","50,41"
56,"109,86","51,43"
57,"109,86","51,42"
58,"110,85","51,43"
59,"110,87","50,40"
60,"110,86","50,42"
61,"110,86","50,42"
62,"110,86","48,43"
63,"110,85","47,43"
64,"110,85","48,43"
65,"111,88","46,40"
66,"111,88","46,40"
67,"111,89","45,38"
68,"111,90","45,36"
69,"112,89","43,37"
70,"112,89","42,36"
71,"113,89","40,34"
72,"115,90","38,32"
73,"116,94","36,29"
74,"121,95","28,28"
75,"123,97","25,22"
76,"125,98","22,20"
77,"127,100","20,19"
78,"126,101","21,19"
79,"128,97","19,22"
80,"128,99","19,20"
81,"129,105","16,13"
82,"131,108","6,3"
