SliceNo,Position,Size
37,"154,127","1,1"
38,"144,137","12,11"
39,"142,140","14,9"
40,"141,140","16,9"
41,"140,129","18,22"
42,"140,126","18,25"
43,"139,124","27,27"
44,"138,120","22,33"
45,"138,120","31,33"
46,"136,119","33,34"
47,"136,114","33,39"
48,"135,113","33,40"
49,"133,112","37,41"
50,"131,110","40,43"
51,"128,110","44,43"
52,"127,108","47,45"
53,"124,108","51,45"
54,"123,106","51,47"
55,"124,102","48,50"
56,"124,99","47,53"
57,"123,99","45,53"
58,"121,100","45,52"
59,"122,101","43,51"
60,"122,100","42,52"
61,"123,100","41,52"
62,"120,97","44,54"
63,"120,97","45,53"
64,"121,95","45,55"
65,"122,95","44,55"
66,"124,94","42,56"
67,"124,91","42,60"
68,"125,105","42,44"
69,"126,102","41,47"
70,"127,101","41,48"
71,"127,104","41,45"
72,"128,102","40,47"
73,"129,104","39,45"
74,"130,104","38,45"
75,"131,104","37,45"
76,"132,104","36,45"
77,"133,104","33,45"
78,"132,105","36,41"
79,"134,105","32,41"
80,"134,105","30,41"
81,"136,106","33,39"
82,"137,106","29,38"
83,"140,108","20,36"
84,"140,107","20,35"
85,"111,107","48,33"
86,"143,108","15,30"
87,"144,114","14,20"
88,"144,118","3,13"
91,"154,116","1,1"
