SliceNo,Position,Size
61,"90,94","1,2"
62,"90,90","2,6"
63,"90,90","4,8"
64,"90,90","4,8"
65,"89,90","5,6"
66,"89,86","7,10"
67,"89,86","7,12"
68,"90,65","8,33"
69,"90,59","11,41"
70,"91,56","15,43"
71,"92,55","14,44"
72,"91,54","17,46"
73,"90,51","20,47"
74,"89,49","23,49"
75,"88,49","24,49"
76,"88,48","26,52"
77,"88,48","26,52"
78,"88,47","26,53"
79,"87,47","29,56"
80,"87,46","29,58"
81,"86,46","30,59"
82,"86,46","30,59"
83,"86,46","32,60"
84,"86,46","31,60"
85,"86,45","32,43"
86,"85,46","33,42"
87,"85,45","33,51"
88,"85,45","33,45"
89,"85,44","33,46"
90,"84,44","34,53"
91,"84,44","34,47"
92,"84,44","34,47"
93,"84,45","34,46"
94,"84,46","35,50"
95,"84,47","34,44"
96,"84,48","34,43"
97,"84,47","35,47"
98,"84,48","35,45"
99,"84,48","36,45"
100,"85,48","35,45"
101,"86,48","33,41"
102,"86,48","34,40"
103,"86,50","34,39"
104,"86,50","33,50"
105,"86,51","33,41"
106,"86,52","33,47"
107,"87,54","32,45"
108,"88,54","31,43"
109,"89,55","29,43"
110,"88,55","30,45"
111,"91,55","27,42"
112,"91,55","25,25"
113,"84,56","32,39"
114,"84,57","31,37"
115,"84,59","26,29"
116,"96,60","14,12"
117,"104,62","4,4"
120,"80,82","1,1"
