SliceNo,Position,Size
34,"150,123","1,1"
35,"146,120","8,10"
36,"145,119","15,28"
37,"145,117","16,31"
38,"142,115","24,33"
39,"142,114","21,35"
40,"139,113","25,35"
41,"139,112","27,38"
42,"134,111","33,38"
43,"134,109","34,42"
44,"135,108","34,45"
45,"135,108","35,45"
46,"134,108","37,44"
47,"133,106","37,48"
48,"132,106","39,47"
49,"131,106","40,47"
50,"130,106","41,47"
51,"129,106","42,47"
52,"129,98","41,52"
53,"131,101","39,48"
54,"131,100","39,48"
55,"131,100","39,48"
56,"131,96","38,42"
57,"130,96","39,52"
58,"130,97","39,40"
59,"129,98","40,39"
60,"130,98","38,38"
61,"129,98","39,38"
62,"129,98","39,36"
63,"130,98","38,36"
64,"130,98","38,37"
65,"130,99","37,36"
66,"130,99","37,36"
67,"131,99","36,35"
68,"131,99","36,35"
69,"131,99","35,35"
70,"132,99","33,35"
71,"132,100","31,32"
72,"132,100","31,32"
73,"132,100","30,30"
74,"134,101","27,28"
75,"134,102","24,24"
76,"135,102","23,23"
77,"136,103","18,19"
78,"137,104","15,18"
79,"139,106","11,13"
80,"142,108","7,10"
