SliceNo,Position,Size
50,"116,154","1,1"
51,"114,152","14,20"
52,"112,148","47,32"
53,"112,148","20,33"
54,"111,146","22,36"
55,"110,146","54,39"
56,"110,146","54,39"
57,"110,146","54,41"
58,"110,146","54,42"
59,"110,147","56,44"
60,"110,148","52,43"
61,"110,148","51,45"
62,"111,147","51,46"
63,"112,148","51,45"
64,"112,149","50,44"
65,"113,150","51,45"
66,"114,151","49,44"
67,"114,152","49,43"
68,"116,152","48,43"
69,"116,152","48,43"
70,"116,152","48,44"
71,"116,150","51,46"
72,"116,146","47,50"
73,"116,146","51,51"
74,"116,146","48,51"
75,"116,146","53,50"
76,"116,146","53,50"
77,"116,146","53,50"
78,"116,130","53,66"
79,"114,130","52,67"
80,"114,130","53,67"
81,"112,132","56,64"
82,"112,131","56,66"
83,"112,128","56,69"
84,"112,128","56,69"
85,"117,128","51,68"
86,"120,147","48,48"
87,"122,148","45,47"
88,"122,149","45,46"
89,"124,160","41,35"
90,"124,160","40,35"
91,"125,160","40,35"
92,"125,160","40,34"
93,"126,161","39,33"
94,"126,161","39,32"
95,"128,162","35,30"
96,"128,162","35,30"
97,"129,162","32,29"
98,"130,163","30,28"
99,"130,162","30,27"
100,"130,162","29,27"
101,"130,162","29,26"
102,"129,163","28,24"
103,"131,164","25,22"
104,"131,164","24,21"
105,"132,164","22,20"
106,"132,163","21,20"
107,"132,165","18,17"
108,"132,162","17,20"
109,"133,161","18,17"
110,"146,162","3,3"
111,"146,162","2,1"
