SliceNo,Position,Size
76,"138,48","7,10"
77,"137,47","8,11"
78,"137,47","9,11"
79,"129,42","16,16"
80,"128,41","17,17"
81,"128,41","17,19"
82,"128,39","17,22"
83,"128,38","16,33"
84,"128,38","17,34"
85,"128,38","17,34"
86,"129,39","17,34"
87,"129,40","17,34"
88,"129,41","18,35"
89,"129,42","20,46"
90,"128,42","21,51"
91,"128,42","22,51"
92,"128,41","22,39"
93,"128,41","23,39"
94,"128,42","23,37"
95,"128,42","24,37"
96,"129,42","23,38"
97,"129,42","23,38"
98,"129,43","23,37"
99,"129,44","23,36"
100,"129,45","23,35"
101,"129,45","23,35"
102,"129,46","22,34"
103,"128,47","23,33"
104,"128,47","24,32"
105,"127,47","25,32"
106,"125,47","26,32"
107,"125,47","29,32"
108,"126,47","28,31"
109,"126,47","38,31"
110,"126,47","28,28"
111,"126,47","24,28"
112,"126,46","21,28"
113,"126,47","25,26"
114,"126,47","21,26"
115,"126,47","28,26"
116,"126,48","22,24"
117,"128,49","18,20"
118,"128,50","18,19"
119,"133,53","15,16"
120,"134,56","19,18"
121,"140,57","15,18"
122,"143,62","11,13"
123,"134,60","19,14"
124,"144,66","8,7"
