SliceNo,Position,Size
97,"102,134","4,5"
98,"100,133","7,7"
99,"99,132","9,10"
100,"98,131","10,13"
101,"97,130","18,15"
102,"97,130","20,16"
103,"98,129","20,18"
104,"98,129","21,19"
105,"98,128","21,20"
106,"99,128","20,21"
107,"100,128","20,22"
108,"100,128","20,23"
109,"101,128","19,23"
110,"102,128","18,23"
111,"103,128","17,24"
112,"104,127","15,25"
113,"105,127","13,25"
114,"105,126","13,26"
115,"106,126","12,23"
116,"107,125","11,24"
117,"107,124","10,25"
118,"108,125","9,24"
119,"109,135","7,13"
