SliceNo,Position,Size
73,"143,72","1,1"
75,"142,57","2,1"
76,"141,50","4,8"
77,"140,50","6,9"
78,"139,48","7,12"
79,"136,48","10,11"
80,"134,39","11,19"
81,"131,40","14,18"
82,"131,39","13,19"
83,"132,40","12,45"
84,"131,39","13,45"
85,"130,40","14,46"
86,"129,40","16,34"
87,"129,40","17,52"
88,"129,41","18,37"
89,"128,42","20,52"
90,"128,42","20,52"
91,"129,42","19,51"
92,"129,41","20,40"
93,"128,42","22,39"
94,"128,42","22,39"
95,"128,41","23,40"
96,"128,43","23,38"
97,"128,44","24,37"
98,"128,45","24,36"
99,"128,46","24,35"
100,"128,46","24,34"
101,"128,46","24,34"
102,"127,47","24,33"
103,"128,47","23,33"
104,"127,47","25,33"
105,"127,47","25,33"
106,"126,47","26,33"
107,"126,48","26,31"
108,"126,48","26,31"
109,"127,48","24,30"
110,"127,48","24,30"
111,"127,48","23,28"
112,"126,48","24,27"
113,"126,49","24,26"
114,"126,50","24,24"
115,"126,51","24,23"
116,"127,51","22,23"
117,"128,52","20,22"
118,"129,53","17,17"
119,"130,54","12,13"
120,"130,54","22,20"
121,"132,55","21,19"
122,"131,56","22,18"
123,"143,67","5,4"
124,"132,62","16,7"
125,"133,62","1,1"
