SliceNo,Position,Size
71,"142,92","2,2"
72,"139,92","6,4"
73,"138,92","6,5"
74,"130,63","14,35"
75,"129,57","13,41"
76,"125,55","31,43"
77,"125,54","31,46"
78,"124,53","32,47"
79,"122,53","34,33"
80,"122,52","34,50"
81,"122,51","36,52"
82,"122,51","36,52"
83,"122,51","36,41"
84,"122,50","36,42"
85,"122,50","38,45"
86,"122,50","38,47"
87,"121,48","37,51"
88,"121,48","37,52"
89,"121,46","37,54"
90,"121,46","37,55"
91,"121,47","37,55"
92,"121,47","37,56"
93,"121,47","35,55"
94,"122,46","34,57"
95,"121,47","36,55"
96,"121,48","36,54"
97,"121,48","36,55"
98,"121,48","36,55"
99,"121,48","36,55"
100,"122,48","35,56"
101,"121,49","36,55"
102,"121,49","35,55"
103,"121,49","37,55"
104,"121,50","39,54"
105,"121,50","39,53"
106,"121,50","40,52"
107,"121,50","41,51"
108,"121,50","43,50"
109,"122,51","41,49"
110,"122,52","41,48"
111,"122,52","38,47"
112,"122,54","37,44"
113,"122,60","37,38"
114,"123,60","31,38"
115,"124,63","27,32"
116,"125,70","25,24"
117,"125,65","24,28"
118,"126,66","21,26"
119,"131,72","11,4"
120,"140,72","2,2"
126,"142,87","1,1"
