SliceNo,Position,Size
64,"73,125","5,4"
65,"71,119","12,12"
66,"66,119","19,16"
67,"67,114","19,22"
68,"67,112","22,25"
69,"62,108","29,32"
70,"62,107","31,34"
71,"62,105","33,38"
72,"62,104","35,39"
73,"62,101","36,43"
74,"62,99","37,46"
75,"62,102","42,43"
76,"63,101","43,44"
77,"63,99","39,46"
78,"62,99","41,49"
79,"62,98","42,48"
80,"62,97","48,49"
81,"62,94","50,52"
82,"60,93","53,52"
83,"60,93","54,53"
84,"61,92","53,54"
85,"60,92","55,54"
86,"60,91","55,55"
87,"60,91","55,55"
88,"60,90","55,57"
89,"60,91","55,54"
90,"61,93","55,53"
91,"61,93","55,52"
92,"61,94","55,51"
93,"61,94","53,49"
94,"61,93","55,50"
95,"62,93","54,50"
96,"62,94","55,49"
97,"63,94","55,49"
98,"63,91","56,51"
99,"64,90","55,52"
100,"64,90","55,52"
101,"64,92","55,49"
102,"65,92","54,48"
103,"66,96","52,43"
104,"66,97","52,41"
105,"67,99","52,39"
106,"68,100","50,38"
107,"69,101","48,37"
108,"70,100","48,37"
109,"71,101","46,36"
110,"72,102","44,34"
111,"75,102","41,33"
112,"77,102","39,32"
113,"77,102","38,30"
114,"78,102","36,29"
115,"79,103","34,28"
116,"80,103","32,25"
117,"81,104","29,23"
118,"83,102","26,24"
119,"82,103","25,23"
120,"82,100","24,26"
121,"82,102","23,21"
122,"83,104","21,16"
123,"84,107","19,15"
124,"88,109","15,11"
