SliceNo,Position,Size
68,"146,70","1,1"
70,"143,64","4,7"
71,"141,53","6,18"
72,"105,47","40,40"
73,"102,68","43,20"
74,"103,40","43,48"
75,"104,38","42,50"
76,"105,38","41,52"
77,"106,39","39,52"
78,"106,38","40,53"
79,"106,37","40,54"
80,"107,37","39,55"
81,"110,37","36,55"
82,"113,38","33,53"
83,"116,38","30,54"
84,"118,37","29,57"
85,"125,37","23,45"
86,"125,38","23,44"
87,"126,38","23,46"
88,"126,38","23,46"
89,"126,38","24,48"
90,"126,38","24,48"
91,"126,38","25,47"
92,"126,38","26,48"
93,"126,38","27,48"
94,"127,38","25,49"
95,"127,39","25,49"
96,"127,40","25,52"
97,"128,40","25,54"
98,"128,40","24,39"
99,"127,41","26,38"
100,"127,44","25,35"
101,"127,44","25,35"
102,"126,44","26,35"
103,"126,46","26,32"
104,"126,46","26,32"
105,"125,46","27,32"
106,"125,46","27,32"
107,"125,45","25,33"
108,"125,44","26,34"
109,"125,45","27,31"
110,"125,45","26,31"
111,"125,45","29,30"
112,"125,45","29,29"
113,"125,45","23,29"
114,"125,46","23,28"
115,"125,47","23,27"
116,"125,50","22,24"
117,"126,51","20,23"
118,"126,52","18,22"
119,"127,52","19,22"
120,"129,53","17,21"
121,"130,54","7,18"
122,"132,56","5,16"
