SliceNo,Position,Size
58,"105,145","8,6"
59,"97,141","27,19"
60,"96,139","34,24"
61,"95,135","37,33"
62,"95,130","37,36"
63,"93,127","41,39"
64,"94,127","40,41"
65,"93,129","44,41"
66,"94,130","43,42"
67,"95,131","41,43"
68,"96,131","40,43"
69,"94,127","41,51"
70,"94,126","43,53"
71,"92,125","45,55"
72,"89,122","47,61"
73,"88,117","48,68"
74,"88,116","49,69"
75,"89,114","52,72"
76,"87,115","52,70"
77,"85,113","54,75"
78,"84,113","56,75"
79,"82,111","56,78"
80,"82,112","56,77"
81,"82,112","54,78"
82,"82,112","51,79"
83,"82,109","51,82"
84,"81,112","53,79"
85,"81,112","52,80"
86,"81,112","51,80"
87,"81,112","55,80"
88,"82,112","55,79"
89,"80,114","50,77"
90,"82,114","54,78"
91,"82,113","57,78"
92,"83,113","56,77"
93,"83,112","56,78"
94,"83,114","54,77"
95,"87,112","50,78"
96,"88,113","48,76"
97,"88,114","47,75"
98,"88,114","44,75"
99,"89,114","41,74"
100,"91,112","38,73"
101,"93,111","34,74"
102,"93,110","33,72"
103,"91,111","34,69"
104,"89,111","36,68"
105,"89,111","35,67"
106,"92,110","32,70"
107,"93,111","31,69"
108,"94,111","30,69"
109,"94,112","29,68"
110,"94,112","29,68"
111,"96,111","27,68"
112,"97,110","24,68"
113,"97,113","25,64"
114,"98,115","24,62"
115,"100,113","20,59"
116,"100,117","19,54"
117,"101,119","18,50"
118,"102,121","17,46"
119,"105,126","17,37"
120,"104,132","18,32"
121,"105,139","12,23"
122,"110,154","5,4"
