SliceNo,Position,Size
83,"103,120","4,2"
84,"101,117","9,18"
85,"100,116","10,20"
86,"98,112","12,19"
87,"97,111","14,19"
88,"97,112","15,20"
89,"95,111","18,22"
90,"94,110","19,23"
91,"93,107","22,27"
92,"92,102","23,33"
93,"90,100","26,36"
94,"89,99","27,37"
95,"88,96","29,41"
96,"88,96","30,41"
97,"88,96","30,42"
98,"86,96","33,42"
99,"86,94","33,44"
100,"85,94","34,44"
101,"84,94","35,44"
102,"82,94","37,44"
103,"82,93","38,46"
104,"82,93","38,46"
105,"82,91","38,48"
106,"81,92","39,47"
107,"81,90","39,50"
108,"81,90","38,49"
109,"81,90","39,49"
110,"81,90","39,49"
111,"82,89","38,49"
112,"82,90","38,48"
113,"82,90","38,48"
114,"82,90","38,48"
115,"83,90","37,48"
116,"83,90","37,47"
117,"83,90","37,47"
118,"82,90","38,46"
119,"84,90","35,46"
120,"83,91","37,44"
121,"84,91","35,44"
122,"83,91","35,43"
123,"85,92","33,41"
124,"86,92","32,40"
125,"87,93","31,40"
126,"87,93","30,38"
127,"88,94","29,37"
128,"88,94","29,37"
129,"89,95","28,33"
130,"91,95","25,31"
131,"91,96","25,29"
132,"93,97","23,27"
133,"96,97","20,25"
134,"97,100","18,21"
135,"98,103","17,16"
136,"101,106","12,11"
137,"102,107","5,5"
