SliceNo,Position,Size
72,"142,134","17,8"
73,"142,131","19,12"
74,"143,130","18,13"
75,"142,129","20,17"
76,"138,129","24,28"
77,"138,129","24,28"
78,"135,128","27,29"
79,"130,128","31,33"
80,"130,128","41,34"
81,"128,128","43,42"
82,"130,127","41,43"
83,"128,126","36,45"
84,"127,125","37,47"
85,"116,121","50,53"
86,"116,122","49,52"
87,"116,119","50,55"
88,"116,118","50,56"
89,"115,118","52,57"
90,"114,118","53,57"
91,"113,117","53,58"
92,"112,116","54,59"
93,"116,116","50,59"
94,"117,116","49,60"
95,"117,115","49,61"
96,"117,116","49,60"
97,"117,116","49,60"
98,"117,116","49,60"
99,"120,116","46,60"
100,"120,116","46,58"
101,"120,116","46,58"
102,"120,116","46,58"
103,"120,116","46,56"
104,"120,116","46,56"
105,"121,116","43,56"
106,"121,116","43,57"
107,"121,116","43,56"
108,"122,116","42,57"
109,"122,118","40,55"
110,"122,118","40,54"
111,"123,118","37,54"
112,"123,118","37,54"
113,"120,118","38,53"
114,"120,118","38,52"
115,"120,119","38,50"
116,"124,119","34,49"
117,"124,120","34,48"
118,"125,120","33,43"
119,"126,122","30,39"
120,"119,122","36,39"
121,"124,128","26,32"
122,"132,132","17,18"
123,"140,134","8,6"
124,"142,133","5,4"
