SliceNo,Position,Size
72,"99,165","6,6"
73,"95,163","11,11"
74,"95,162","12,16"
75,"93,161","15,18"
76,"91,160","18,21"
77,"91,159","18,23"
78,"89,156","22,28"
79,"88,150","23,36"
80,"88,148","23,38"
81,"87,147","24,40"
82,"87,148","24,39"
83,"87,146","24,41"
84,"87,146","24,42"
85,"86,146","25,42"
86,"87,146","23,42"
87,"85,145","26,43"
88,"85,145","26,43"
89,"85,145","26,43"
90,"84,145","26,42"
91,"84,144","26,43"
92,"85,143","26,44"
93,"86,144","25,43"
94,"85,144","26,42"
95,"85,144","27,41"
96,"84,144","27,39"
97,"83,143","28,39"
98,"83,144","28,38"
99,"83,146","29,35"
100,"84,147","27,33"
101,"85,148","25,31"
102,"85,149","25,29"
103,"87,150","23,25"
104,"86,150","24,26"
105,"86,152","24,24"
106,"87,152","24,24"
107,"88,155","22,19"
108,"90,158","19,16"
109,"91,162","17,10"
