SliceNo,Position,Size
39,"72,82","3,4"
40,"72,82","4,3"
41,"70,80","6,8"
42,"70,79","6,17"
43,"64,76","13,22"
44,"64,75","14,25"
45,"61,74","18,32"
46,"59,73","22,40"
47,"59,72","24,43"
48,"59,71","26,45"
49,"58,71","29,46"
50,"58,72","29,46"
51,"57,72","31,48"
52,"58,70","30,50"
53,"58,70","33,50"
54,"58,69","32,53"
55,"57,68","35,55"
56,"57,68","35,57"
57,"57,68","36,57"
58,"57,68","37,57"
59,"57,68","37,57"
60,"57,68","37,57"
61,"56,68","38,57"
62,"56,68","38,58"
63,"56,68","39,57"
64,"56,67","39,57"
65,"56,67","39,55"
66,"56,67","48,54"
67,"57,66","47,54"
68,"57,66","39,53"
69,"57,67","39,51"
70,"57,67","42,51"
71,"58,67","47,51"
72,"58,67","48,51"
73,"58,68","48,46"
74,"58,69","48,43"
75,"58,70","48,40"
76,"58,70","48,38"
77,"58,73","46,36"
78,"58,71","46,38"
79,"58,71","33,38"
80,"58,70","33,40"
81,"59,68","23,46"
82,"60,67","20,48"
83,"60,77","16,37"
84,"59,82","9,32"
85,"58,94","8,20"
86,"58,85","6,29"
87,"60,93","4,19"
88,"59,95","4,15"
89,"61,96","1,12"
90,"60,98","2,10"
91,"61,102","1,2"
92,"61,102","1,2"
