SliceNo,Position,Size
91,"154,98","4,4"
92,"152,96","7,12"
93,"141,94","19,18"
94,"141,93","20,20"
95,"142,92","20,22"
96,"142,92","20,22"
97,"141,92","21,23"
98,"142,91","21,25"
99,"142,91","22,25"
100,"142,89","22,26"
101,"141,89","23,27"
102,"142,88","22,27"
103,"142,87","24,28"
104,"142,87","24,28"
105,"141,87","27,28"
106,"142,86","25,29"
107,"140,86","28,30"
108,"143,86","25,30"
109,"144,86","24,29"
110,"144,86","24,28"
111,"145,85","23,29"
112,"145,86","23,28"
113,"145,86","22,28"
114,"146,86","20,28"
115,"147,87","19,28"
116,"147,87","19,28"
117,"148,87","17,28"
118,"148,86","16,28"
119,"148,87","16,26"
120,"149,87","13,23"
121,"150,88","11,21"
122,"150,89","10,18"
123,"152,91","6,17"
124,"152,96","5,13"
