SliceNo,Position,Size
33,"93,122","3,4"
34,"92,122","5,4"
35,"91,117","7,9"
36,"88,117","12,10"
37,"87,117","13,9"
38,"86,114","14,17"
39,"84,112","17,20"
40,"81,111","22,22"
41,"80,99","25,34"
42,"80,97","23,37"
43,"79,93","25,41"
44,"79,85","28,49"
45,"70,76","37,57"
46,"70,76","35,57"
47,"78,88","29,45"
48,"78,88","29,45"
49,"77,88","29,45"
50,"78,87","28,46"
51,"77,86","29,55"
52,"77,86","30,55"
53,"77,86","32,47"
54,"78,83","32,50"
55,"77,82","33,51"
56,"78,82","31,50"
57,"78,80","32,52"
58,"78,80","34,52"
59,"78,80","33,52"
60,"78,79","33,52"
61,"78,79","33,52"
62,"78,78","34,52"
63,"78,78","34,51"
64,"79,76","33,52"
65,"80,75","32,53"
66,"81,72","32,56"
67,"82,72","31,55"
68,"82,71","31,56"
69,"82,68","31,56"
70,"83,68","30,50"
71,"83,71","29,42"
72,"84,72","28,37"
73,"84,73","26,34"
74,"84,72","26,34"
75,"84,74","25,32"
76,"85,74","24,30"
77,"85,76","25,28"
78,"85,74","26,28"
79,"85,76","26,25"
80,"86,78","25,22"
81,"87,78","22,21"
82,"87,78","21,21"
83,"89,79","19,20"
84,"89,79","18,20"
85,"89,80","19,19"
86,"90,80","18,18"
87,"96,81","2,2"
