SliceNo,Position,Size
72,"170,146","3,5"
73,"166,144","8,8"
74,"165,142","10,12"
75,"160,142","16,14"
76,"158,142","18,16"
77,"158,142","18,18"
78,"157,142","20,19"
79,"156,142","22,24"
80,"155,143","23,23"
81,"154,144","24,22"
82,"153,141","25,25"
83,"152,143","26,24"
84,"150,142","28,24"
85,"146,141","32,28"
86,"145,143","33,26"
87,"143,144","35,25"
88,"140,144","37,28"
89,"140,144","37,28"
90,"139,144","38,27"
91,"138,144","37,28"
92,"138,144","36,29"
93,"138,145","36,28"
94,"138,145","35,28"
95,"137,145","35,29"
96,"137,145","34,29"
97,"136,145","34,29"
98,"139,145","31,28"
99,"137,145","30,28"
100,"136,145","31,28"
101,"137,143","30,29"
102,"137,147","25,25"
103,"137,147","27,25"
104,"142,147","21,26"
105,"144,148","20,25"
106,"147,148","17,25"
107,"147,148","16,17"
108,"147,150","18,13"
109,"160,162","1,1"
