SliceNo,Position,Size
18,"125,90","5,2"
19,"125,89","7,3"
20,"125,90","7,2"
21,"124,90","8,2"
22,"126,90","6,2"
23,"122,89","10,3"
24,"120,86","12,6"
25,"121,89","11,4"
26,"121,87","11,6"
27,"122,84","11,9"
28,"122,83","11,10"
29,"121,83","12,11"
30,"121,82","13,11"
31,"122,83","10,10"
32,"121,84","10,10"
33,"120,86","12,8"
34,"121,87","10,6"
35,"65,87","65,34"
36,"64,89","64,33"
37,"60,90","68,32"
38,"60,110","10,13"
39,"64,112","5,9"
40,"64,110","13,11"
41,"64,98","14,22"
42,"64,95","14,25"
43,"66,93","14,25"
44,"67,90","15,28"
45,"68,90","16,28"
46,"67,87","19,33"
47,"69,87","18,33"
48,"67,87","24,33"
49,"67,87","26,33"
50,"65,87","28,34"
51,"66,86","28,35"
52,"69,86","25,36"
53,"67,86","26,36"
54,"66,84","28,40"
55,"67,84","27,39"
56,"66,84","28,40"
57,"66,84","28,40"
58,"67,84","27,40"
59,"67,84","26,37"
60,"67,84","32,32"
61,"66,84","26,32"
62,"66,85","24,29"
63,"66,85","24,29"
64,"66,86","37,28"
65,"66,87","23,21"
66,"66,88","17,17"
67,"67,88","14,17"
68,"67,90","14,14"
69,"68,91","13,13"
70,"69,93","9,11"
71,"70,93","8,8"
