SliceNo,Position,Size
67,"120,134","1,1"
68,"120,125","12,9"
69,"111,122","20,18"
70,"107,118","25,32"
71,"104,115","28,38"
72,"99,115","34,53"
73,"95,114","40,55"
74,"92,114","44,57"
75,"87,112","49,59"
76,"86,111","50,62"
77,"88,111","48,62"
78,"87,112","49,62"
79,"86,110","50,66"
80,"85,110","52,68"
81,"84,110","52,67"
82,"83,110","53,67"
83,"82,110","54,67"
84,"82,110","54,73"
85,"81,110","55,73"
86,"78,110","58,75"
87,"79,111","57,73"
88,"80,110","56,79"
89,"78,111","58,79"
90,"78,111","59,79"
91,"79,112","58,79"
92,"79,112","57,80"
93,"78,113","58,79"
94,"77,114","59,76"
95,"77,114","59,75"
96,"77,114","59,75"
97,"77,115","60,74"
98,"77,115","61,73"
99,"77,115","60,73"
100,"78,115","59,72"
101,"78,116","59,72"
102,"78,117","58,70"
103,"78,118","58,70"
104,"77,118","59,68"
105,"77,119","58,65"
106,"77,119","57,65"
107,"78,120","53,63"
108,"77,120","50,62"
109,"77,120","45,60"
110,"77,120","44,59"
111,"79,122","42,57"
112,"79,122","41,57"
113,"80,123","40,55"
114,"80,123","40,53"
115,"81,124","38,52"
116,"81,125","38,51"
117,"83,126","35,47"
118,"84,127","31,46"
119,"85,134","29,36"
120,"88,144","25,26"
121,"91,143","22,25"
122,"91,146","23,21"
123,"92,145","19,18"
124,"92,144","17,16"
125,"93,144","12,12"
126,"93,143","9,7"
127,"94,142","7,5"
