SliceNo,Position,Size
71,"139,54","3,2"
72,"123,41","19,15"
73,"126,41","12,15"
74,"124,39","16,18"
75,"122,38","24,23"
76,"122,38","26,24"
77,"122,37","26,25"
78,"122,37","26,25"
79,"122,36","26,26"
80,"123,36","25,26"
81,"123,36","54,59"
82,"123,36","54,67"
83,"124,38","26,54"
84,"125,38","45,65"
85,"126,38","48,66"
86,"126,38","48,66"
87,"126,40","50,64"
88,"126,40","50,64"
89,"126,40","25,56"
90,"126,39","25,57"
91,"126,40","27,58"
92,"126,40","28,40"
93,"128,40","26,40"
94,"129,40","27,42"
95,"129,41","27,41"
96,"129,42","27,42"
97,"129,44","27,40"
98,"129,45","27,39"
99,"129,46","27,38"
100,"129,46","26,36"
101,"128,49","32,39"
102,"128,49","32,41"
103,"127,49","32,39"
104,"127,49","32,39"
105,"126,48","33,39"
106,"126,48","33,39"
107,"125,48","39,36"
108,"124,48","40,44"
109,"127,48","29,35"
110,"127,48","29,32"
111,"127,47","31,34"
112,"127,47","30,34"
113,"127,48","30,32"
114,"127,48","29,31"
115,"127,50","30,28"
116,"127,52","30,26"
117,"128,54","28,24"
118,"131,55","25,23"
119,"131,55","25,23"
120,"131,57","21,19"
121,"132,57","15,13"
122,"132,56","20,19"
123,"130,59","15,12"
124,"130,61","17,9"
125,"132,62","2,2"
