SliceNo,Position,Size
43,"161,77","15,19"
44,"158,75","15,22"
45,"156,72","19,26"
46,"149,65","26,34"
47,"138,56","38,46"
48,"137,56","41,47"
49,"136,57","43,46"
50,"135,53","45,53"
51,"132,53","48,51"
52,"130,53","50,52"
53,"131,52","50,53"
54,"131,51","50,54"
55,"131,50","50,55"
56,"130,50","50,55"
57,"130,50","50,56"
58,"129,50","51,57"
59,"128,49","52,59"
60,"129,49","51,58"
61,"129,49","51,58"
62,"128,49","52,58"
63,"127,49","52,58"
64,"127,50","52,57"
65,"129,49","49,59"
66,"128,50","49,58"
67,"127,51","49,57"
68,"128,51","48,56"
69,"129,52","46,55"
70,"129,52","46,55"
71,"129,53","45,53"
72,"130,53","43,53"
73,"131,54","41,51"
74,"131,55","41,49"
75,"132,57","38,47"
76,"132,59","37,45"
77,"133,62","34,41"
78,"134,64","30,38"
79,"135,65","25,36"
80,"137,67","23,34"
81,"138,68","20,30"
82,"139,69","19,28"
83,"140,71","17,21"
84,"141,75","15,16"
85,"141,75","14,15"
86,"144,78","8,15"
