SliceNo,Position,Size
43,"61,96","8,5"
44,"57,81","26,24"
45,"55,77","29,31"
46,"55,74","29,37"
47,"55,74","32,40"
48,"55,70","32,45"
49,"55,70","33,48"
50,"56,72","33,46"
51,"55,75","34,46"
52,"54,71","34,50"
53,"54,75","34,50"
54,"54,78","34,50"
55,"54,77","34,52"
56,"54,76","34,53"
57,"52,76","34,53"
58,"53,75","25,55"
59,"53,76","25,54"
60,"52,77","26,53"
61,"52,77","27,54"
62,"52,81","27,50"
63,"52,82","27,48"
64,"52,82","27,48"
65,"54,84","24,46"
66,"56,84","20,44"
67,"57,82","16,43"
68,"57,81","17,28"
69,"56,79","18,30"
70,"56,80","17,25"
71,"54,82","16,9"
72,"56,83","7,8"
73,"57,86","5,2"
83,"101,157","5,3"
84,"99,158","8,9"
85,"96,151","17,26"
86,"95,150","21,31"
87,"94,149","24,35"
88,"94,146","25,38"
89,"93,147","26,36"
90,"93,147","27,36"
91,"92,146","27,37"
92,"92,146","27,37"
93,"92,145","28,38"
94,"92,145","28,40"
95,"92,145","28,38"
96,"92,145","28,39"
97,"92,145","28,40"
98,"92,145","29,38"
99,"93,145","28,39"
100,"94,144","27,39"
101,"95,144","26,40"
102,"95,143","26,40"
103,"96,143","25,39"
104,"97,143","24,39"
105,"97,143","24,38"
106,"97,141","24,40"
107,"98,141","22,40"
108,"98,142","22,38"
109,"99,142","21,37"
110,"100,141","20,37"
111,"100,141","20,37"
112,"101,141","19,36"
113,"101,141","19,36"
114,"102,141","18,36"
115,"102,143","19,31"
116,"102,144","19,28"
117,"102,144","19,27"
118,"103,147","18,22"
119,"105,147","15,21"
120,"106,151","13,17"
121,"106,151","12,13"
122,"110,151","9,9"
123,"110,154","8,4"
