SliceNo,Position,Size
53,"152,65","3,4"
54,"149,61","8,33"
55,"148,58","10,38"
56,"142,55","18,42"
57,"135,53","26,66"
58,"134,52","27,67"
59,"136,51","25,67"
60,"134,51","28,68"
61,"132,48","33,72"
62,"130,47","36,72"
63,"130,47","39,70"
64,"128,47","40,70"
65,"128,46","40,70"
66,"127,45","40,73"
67,"126,45","41,74"
68,"126,45","42,75"
69,"124,45","44,77"
70,"124,45","44,77"
71,"124,46","44,76"
72,"117,46","53,75"
73,"115,48","55,72"
74,"115,48","56,72"
75,"112,49","61,71"
76,"111,50","60,70"
77,"113,45","59,75"
78,"109,43","63,77"
79,"109,43","62,77"
80,"109,43","63,77"
81,"109,43","63,77"
82,"111,43","61,77"
83,"114,43","58,76"
84,"114,43","58,76"
85,"117,42","55,76"
86,"117,39","55,79"
87,"115,39","58,79"
88,"115,39","59,79"
89,"115,39","59,79"
90,"116,39","59,78"
91,"121,40","54,76"
92,"121,41","54,75"
93,"121,41","54,75"
94,"121,41","53,74"
95,"121,43","53,80"
96,"121,44","53,77"
97,"123,45","51,75"
98,"124,45","49,73"
99,"124,46","46,69"
100,"126,46","44,68"
101,"127,46","40,66"
102,"128,47","39,65"
103,"128,47","38,61"
104,"129,48","37,67"
105,"130,49","36,67"
106,"130,50","36,66"
107,"130,50","34,65"
108,"131,47","34,69"
109,"131,48","32,68"
110,"132,48","28,67"
111,"132,50","28,64"
112,"133,58","26,33"
113,"134,54","21,35"
114,"134,68","8,19"
115,"136,68","4,13"
116,"139,76","1,1"
