SliceNo,Position,Size
61,"139,35","1,1"
62,"139,35","1,2"
64,"137,35","1,1"
65,"136,34","5,2"
66,"136,35","11,5"
67,"131,33","17,18"
68,"127,33","23,23"
69,"124,34","27,25"
70,"123,34","29,25"
71,"122,34","40,33"
72,"122,34","40,33"
73,"122,35","31,35"
74,"122,35","33,38"
75,"122,34","34,39"
76,"122,34","35,39"
77,"122,35","35,38"
78,"122,35","42,38"
79,"122,35","42,38"
80,"122,35","39,39"
81,"122,36","43,38"
82,"122,37","43,38"
83,"122,37","43,38"
84,"122,37","43,38"
85,"122,37","43,38"
86,"122,37","43,38"
87,"122,38","41,37"
88,"122,38","42,36"
89,"122,38","41,36"
90,"122,38","41,36"
91,"122,38","41,36"
92,"122,38","48,36"
93,"122,38","48,36"
94,"122,38","48,34"
95,"123,39","47,31"
96,"123,39","45,32"
97,"124,39","44,31"
98,"125,39","41,31"
99,"125,40","41,30"
100,"125,40","41,26"
101,"127,41","39,23"
102,"128,41","38,21"
103,"129,42","36,21"
104,"130,42","35,19"
105,"131,42","33,22"
106,"132,42","33,19"
107,"132,43","32,18"
108,"133,43","29,17"
109,"132,43","28,16"
110,"134,43","10,5"
111,"134,43","8,5"
112,"136,44","4,4"
113,"137,45","1,1"
