SliceNo,Position,Size
62,"119,152","5,11"
63,"116,146","14,24"
64,"114,143","20,30"
65,"107,143","29,31"
66,"104,141","34,35"
67,"102,138","36,38"
68,"102,136","37,41"
69,"99,136","41,42"
70,"98,135","43,44"
71,"98,135","44,45"
72,"97,133","46,51"
73,"94,134","49,52"
74,"94,133","50,54"
75,"93,132","52,56"
76,"91,138","55,51"
77,"90,136","56,54"
78,"88,136","58,55"
79,"87,135","60,56"
80,"87,134","60,58"
81,"87,133","60,60"
82,"87,131","60,62"
83,"87,132","60,60"
84,"87,132","60,61"
85,"87,133","59,59"
86,"88,132","59,59"
87,"88,133","59,64"
88,"90,135","57,60"
89,"91,135","56,61"
90,"91,136","57,60"
91,"92,139","56,57"
92,"94,139","54,56"
93,"94,140","54,55"
94,"93,143","55,52"
95,"93,144","55,50"
96,"93,144","55,48"
97,"94,145","53,47"
98,"94,146","52,47"
99,"94,146","52,45"
100,"95,145","49,47"
101,"95,149","48,43"
102,"96,149","45,41"
103,"96,150","33,40"
104,"96,149","29,38"
105,"96,148","28,37"
106,"97,148","27,34"
107,"97,148","26,32"
108,"98,146","24,34"
109,"99,146","22,31"
110,"101,146","19,29"
111,"102,148","18,24"
112,"103,148","15,22"
113,"108,148","9,12"
114,"108,149","7,8"
115,"109,150","4,2"
