SliceNo,Position,Size
32,"65,123","16,11"
33,"63,121","21,16"
34,"62,116","24,22"
35,"61,116","27,23"
36,"60,116","30,24"
37,"60,115","32,26"
38,"60,114","34,28"
39,"60,112","36,31"
40,"59,109","38,34"
41,"59,107","39,37"
42,"56,102","43,42"
43,"56,101","43,44"
44,"54,100","46,45"
45,"55,99","44,47"
46,"55,99","43,48"
47,"54,98","44,51"
48,"54,98","43,52"
49,"52,98","44,54"
50,"50,98","46,54"
51,"49,98","47,55"
52,"49,97","48,56"
53,"49,96","48,58"
54,"49,95","48,59"
55,"48,94","50,60"
56,"48,95","51,59"
57,"48,96","52,58"
58,"48,97","53,57"
59,"48,97","51,57"
60,"48,97","50,56"
61,"48,96","45,56"
62,"49,97","44,54"
63,"49,97","43,54"
64,"50,97","42,52"
65,"52,97","40,51"
66,"53,96","39,50"
67,"53,95","39,46"
68,"54,94","37,44"
69,"54,93","37,44"
70,"55,91","37,46"
71,"55,90","38,46"
72,"56,89","38,46"
73,"56,89","38,46"
74,"57,89","36,44"
75,"57,89","36,44"
76,"58,89","35,41"
77,"66,89","27,38"
78,"67,90","25,36"
79,"68,90","24,34"
80,"75,91","17,26"
81,"76,92","16,24"
82,"78,94","13,20"
