SliceNo,Position,Size
83,"92,66","2,1"
84,"89,62","6,7"
85,"88,62","8,8"
86,"83,60","13,13"
87,"81,59","16,15"
88,"79,60","18,16"
89,"78,60","19,18"
90,"78,58","19,20"
91,"77,60","19,19"
92,"77,61","18,19"
93,"76,61","19,18"
94,"75,61","20,19"
95,"75,60","20,20"
96,"75,60","20,20"
97,"75,60","20,20"
98,"75,60","20,19"
99,"75,60","18,19"
100,"75,60","18,18"
101,"76,60","17,18"
102,"76,59","17,19"
103,"76,60","16,18"
104,"76,60","16,17"
105,"76,60","15,17"
106,"76,61","15,15"
107,"77,61","13,15"
108,"77,61","13,14"
109,"78,63","11,11"
110,"78,63","9,9"
