SliceNo,Position,Size
36,"160,128","6,6"
37,"159,126","9,10"
38,"158,125","12,11"
39,"158,124","15,13"
40,"157,123","16,15"
41,"156,122","18,16"
42,"156,120","18,17"
43,"154,118","21,20"
44,"154,116","21,23"
45,"153,114","23,24"
46,"153,114","23,25"
47,"153,110","23,29"
48,"152,108","26,30"
49,"152,104","28,34"
50,"152,101","28,38"
51,"152,101","29,38"
52,"152,102","29,36"
53,"152,103","29,35"
54,"152,102","29,36"
55,"151,103","30,35"
56,"151,102","31,34"
57,"152,104","30,32"
58,"139,99","42,37"
59,"139,93","42,43"
60,"139,92","41,46"
61,"139,90","43,47"
62,"139,90","43,46"
63,"140,95","42,43"
64,"150,96","33,42"
65,"148,88","35,50"
66,"148,88","34,50"
67,"148,88","34,49"
68,"148,88","34,49"
69,"148,89","34,48"
70,"148,89","33,47"
71,"148,89","33,47"
72,"148,89","31,46"
73,"150,90","25,46"
74,"156,104","17,32"
75,"156,105","16,27"
76,"156,105","16,26"
77,"169,105","2,1"
81,"176,91","1,1"
