SliceNo,Position,Size
77,"110,101","1,2"
78,"106,96","6,9"
79,"99,95","14,11"
80,"97,93","16,15"
81,"97,93","15,16"
82,"97,92","16,17"
83,"97,91","16,19"
84,"96,90","18,21"
85,"94,89","21,23"
86,"94,89","21,25"
87,"93,88","22,27"
88,"93,87","22,29"
89,"93,87","23,29"
90,"93,85","24,31"
91,"93,85","24,31"
92,"93,84","24,32"
93,"93,84","25,32"
94,"93,84","25,32"
95,"93,83","25,33"
96,"93,83","25,33"
97,"93,83","25,33"
98,"93,83","25,33"
99,"94,83","24,33"
100,"94,83","24,33"
101,"94,82","24,34"
102,"95,82","24,33"
103,"96,81","23,34"
104,"96,82","22,33"
105,"96,83","22,31"
106,"96,84","22,30"
107,"97,86","20,27"
108,"98,88","18,25"
109,"100,97","13,16"
110,"102,99","8,9"
111,"105,101","1,1"
