SliceNo,Position,Size
89,"74,126","10,8"
90,"73,126","13,8"
91,"75,125","12,9"
92,"75,123","14,11"
93,"74,121","19,14"
94,"74,119","18,16"
95,"74,119","18,16"
96,"73,118","19,18"
97,"73,119","19,17"
98,"72,119","20,18"
99,"72,116","21,22"
100,"72,116","21,23"
101,"72,119","22,21"
102,"71,118","22,23"
103,"70,118","23,23"
104,"69,119","24,23"
105,"69,119","25,24"
106,"69,120","25,24"
107,"69,120","25,24"
108,"70,121","24,24"
109,"70,122","24,24"
110,"70,123","24,25"
111,"71,125","23,24"
112,"73,125","20,24"
113,"74,125","19,23"
114,"75,125","17,23"
115,"75,125","17,23"
116,"76,125","15,22"
117,"76,126","15,20"
118,"76,127","14,17"
119,"76,128","14,15"
120,"76,128","14,13"
121,"77,128","13,12"
122,"79,129","11,10"
123,"79,129","10,9"
124,"80,128","9,10"
125,"81,128","7,9"
126,"82,129","6,6"
127,"85,131","2,3"
