SliceNo,Position,Size
75,"99,64","6,6"
76,"97,62","10,12"
77,"96,60","12,15"
78,"94,58","16,19"
79,"94,58","17,20"
80,"93,57","19,22"
81,"92,56","20,22"
82,"91,56","21,23"
83,"90,56","22,24"
84,"89,56","24,24"
85,"89,56","24,24"
86,"90,56","23,24"
87,"89,57","24,23"
88,"91,57","22,24"
89,"91,58","22,21"
90,"91,57","22,24"
91,"92,58","20,22"
92,"92,58","20,20"
93,"92,60","19,18"
94,"91,62","19,20"
95,"92,59","15,22"
96,"93,57","13,25"
97,"93,71","11,11"
98,"93,71","12,13"
99,"93,70","12,16"
100,"93,69","12,17"
101,"93,69","12,17"
102,"93,63","12,21"
103,"94,59","10,25"
104,"91,59","14,24"
105,"85,58","19,20"
106,"85,57","18,22"
107,"84,57","18,22"
108,"84,57","17,21"
109,"82,57","19,20"
110,"82,56","19,20"
111,"82,56","19,21"
112,"82,54","18,24"
113,"81,54","18,24"
114,"81,54","16,24"
115,"81,56","16,22"
116,"81,59","16,19"
117,"81,63","16,16"
118,"81,63","17,15"
119,"82,64","15,13"
120,"83,65","13,12"
121,"85,67","11,8"
122,"87,68","7,7"
123,"89,68","4,5"
