SliceNo,Position,Size
62,"148,74","1,1"
74,"140,62","4,6"
75,"137,62","7,9"
76,"132,40","13,32"
77,"131,38","15,35"
78,"127,38","19,36"
79,"127,37","21,38"
80,"124,37","24,39"
81,"126,38","23,40"
82,"126,38","25,39"
83,"127,39","24,40"
84,"126,39","25,40"
85,"126,39","24,39"
86,"127,39","23,39"
87,"127,40","23,38"
88,"126,40","25,38"
89,"128,41","24,37"
90,"128,39","24,39"
91,"128,41","24,38"
92,"129,41","23,37"
93,"129,41","23,38"
94,"129,42","23,34"
95,"128,43","24,36"
96,"130,43","22,35"
97,"129,43","23,34"
98,"130,44","22,33"
99,"129,45","23,33"
100,"129,46","23,31"
101,"129,46","24,31"
102,"129,45","25,32"
103,"128,45","25,33"
104,"128,46","24,31"
105,"125,44","26,32"
106,"125,46","26,29"
107,"126,44","24,31"
108,"128,46","22,28"
109,"128,46","22,27"
110,"128,47","21,24"
111,"129,49","20,21"
112,"131,49","17,21"
113,"131,50","16,19"
114,"131,50","15,17"
115,"131,55","14,11"
116,"131,56","12,9"
117,"132,58","6,6"
