SliceNo,Position,Size
39,"161,118","5,2"
40,"159,115","15,14"
41,"158,112","16,19"
42,"157,106","18,26"
43,"157,104","18,29"
44,"155,96","23,37"
45,"156,97","27,36"
46,"155,96","29,37"
47,"155,95","30,38"
48,"155,93","31,41"
49,"154,92","34,43"
50,"153,91","35,44"
51,"151,91","36,44"
52,"150,91","38,44"
53,"149,91","39,44"
54,"149,91","37,44"
55,"148,89","38,48"
56,"147,89","39,47"
57,"146,89","39,46"
58,"147,90","39,46"
59,"147,90","38,45"
60,"147,89","38,47"
61,"147,89","38,47"
62,"146,90","38,46"
63,"146,90","37,46"
64,"146,91","37,44"
65,"145,91","38,43"
66,"144,91","38,43"
67,"146,92","36,41"
68,"145,92","36,41"
69,"145,92","34,39"
70,"145,93","33,38"
71,"145,94","33,36"
72,"146,95","31,35"
73,"147,97","29,32"
74,"148,98","28,29"
75,"149,97","25,29"
76,"149,97","26,28"
77,"151,101","23,23"
78,"154,104","18,19"
79,"156,106","15,15"
80,"158,108","8,11"
