SliceNo,Position,Size
77,"106,81","2,1"
78,"102,76","9,9"
79,"100,75","13,12"
80,"100,74","15,14"
81,"99,73","19,17"
82,"99,73","20,18"
83,"99,72","22,19"
84,"99,71","24,29"
85,"98,71","27,31"
86,"99,71","27,32"
87,"99,71","28,33"
88,"100,72","29,55"
89,"102,73","29,57"
90,"108,79","26,59"
91,"107,81","29,59"
92,"107,90","30,56"
93,"107,90","31,58"
94,"108,86","31,64"
95,"108,85","32,65"
96,"109,84","32,68"
97,"109,84","33,68"
98,"111,84","30,67"
99,"114,84","27,67"
100,"114,84","27,68"
101,"114,84","27,67"
102,"114,83","28,67"
103,"114,83","28,66"
104,"114,82","28,67"
105,"114,82","28,66"
106,"115,82","27,65"
107,"116,81","26,65"
108,"116,81","25,64"
109,"117,82","23,63"
110,"118,82","21,63"
111,"119,82","19,62"
112,"120,83","17,60"
113,"121,84","15,56"
114,"121,86","13,51"
115,"122,87","10,48"
116,"122,88","8,46"
