SliceNo,Position,Size
36,"80,128","5,2"
37,"82,127","4,5"
38,"83,126","5,13"
39,"78,126","10,12"
40,"73,124","15,14"
41,"72,124","17,19"
42,"72,122","18,26"
43,"71,108","19,40"
44,"67,107","23,41"
45,"67,106","24,43"
46,"66,104","25,45"
47,"66,103","29,47"
48,"65,103","29,47"
49,"65,100","29,50"
50,"64,102","33,44"
51,"63,100","36,47"
52,"64,100","37,47"
53,"62,100","40,49"
54,"64,100","38,49"
55,"62,99","39,51"
56,"62,98","40,52"
57,"62,101","40,49"
58,"62,94","41,56"
59,"62,92","40,59"
60,"62,92","41,61"
61,"62,88","46,63"
62,"64,88","46,64"
63,"65,90","45,61"
64,"66,90","44,58"
65,"66,86","43,61"
66,"66,79","38,68"
67,"66,78","38,69"
68,"67,79","36,69"
69,"67,81","37,67"
70,"66,80","38,68"
71,"67,81","38,67"
72,"68,81","38,69"
73,"68,81","39,69"
74,"68,80","39,70"
75,"68,80","39,69"
76,"66,77","42,69"
77,"68,80","40,66"
78,"67,81","41,65"
79,"67,81","45,63"
80,"68,84","43,60"
81,"66,92","36,48"
82,"66,100","36,37"
83,"66,111","19,26"
84,"66,114","24,19"
85,"66,118","24,16"
86,"65,109","16,25"
87,"66,110","15,23"
88,"80,110","1,4"
89,"64,98","17,22"
90,"65,119","5,5"
92,"66,116","2,2"
